W1,W2,F
madhya,pradesh,47
epaper,detailed,46
detailed,version,46
version,please,46
please,log,46
rahul,gandhi,34
live,updates,24
lok,elections,23
prime,minister,23
seats,congress,22
lok,seats,20
track,live,20
congress,party,20
lok,polls,15
chief,minister,15
uttar,pradesh,15
controlled,polity,14
however,great,14
polity,touched,14
seats,seats,14
politicians,family,14
mighty,politicians,14
high,mighty,14
committed,high,14
crimes,committed,14
great,crimes,14
family,controlled,14
reason,however,14
simple,reason,14
congress,govt,13
congress,contest,13
opposition,parties,13
narendra,modi,13
regional,parties,13
political,parties,12
vote,congress,12
win,seats,12
predicted,get,11
congress,win,11
pm,modi,11
modi,govt,11
triple,talaq,11
congress,president,10
join,congress,10
ahead,polls,10
tough,fight,10
political,party,10
accidental,prime,10
uri,review,9
modi,ji,9
vote,share,9
congress,wins,9
win,elections,9
congress,says,9
ahead,predicted,9
votes👍,congress,9
congress,leader,9
govt(now,uri,9
review,people,9
people,say,9
say,good,9
good,voted,9
voted,high,9
high,figure,9
get,lok,9
figure,votes👍,9
next,pm,8
voters,reject,8
fight,congress,8
reject,nota,8
live,ndtv,8
contest,lok,8
pm,candidate,8
gali,gali,8
get,seats,8
shor,hai,8
seats,uttar,8
alliance,congress,8
tamil,nadu,8
support,congress,7
come,power,7
shiv,sena,7
alliance,says,7
national,security,7
results,analysis,7
watch,live,7
indian,voters,7
nota,defeat,7
defeat,ahind,7
ahind,antinational,7
antinational,gali,7
gali,shor,7
like,congress,7
going,vote,7
make,sure,7
middle,class,7
pradesh,congress,7
national,parties,6
vs,congress,6
dont,want,6
says,pm,6
congress,madhya,6
short,majority,6
elections,says,6
hindu,unity,6
senior,leader,6
congress,opposition,6
congress,seats,6
two,states,6
states,rajasthan,6
seatsharing,deal,6
elections,congress,6
contest,seats,6
polls,congress,6
election,results,6
modi,vs,6
nirmala,sitharaman,6
rajasthan,chhattisgarh,6
general,election,6
congress,leading,6
india,congress,6
polls,seatsharing,6
sides,coin,6
one,congress,6
seats,madhya,6
hindi,heartland,6
form,government,6
congress,allies,6
heartland,states,6
says,congress,6
one,thing,6
looks,like,6
gandhi,congress,6
congress,candidate,6
two,sides,6
farm,loan,6
jittery,cold,6
leaves,jittery,6
pm,ji,6
seesaw,congress,6
deal,leaves,6
congress,like,6
win,congress,5
rafale,deal,5
congress,mukt,5
entry,politics,5
manvendra,singh,5
noncongress,parties,5
general,elections,5
win,election,5
know,candidate,5
congress,lok,5
detailed,election,5
years,ago,5
ahead,lok,5
pradesh,chief,5
country,party,5
parties,like,5
islamic,going,5
short,hindu,5
unity,hindus,5
hindus,know,5
janata,party,5
know,christo,5
christo,islamic,5
arvind,kejriwal,5
catch,action,5
congress,unite,5
unite,make,5
state,elections,5
sure,wins,5
wins,thumping,5
thumping,majority,5
years,congress,5
happening,since,5
amit,shah,5
ls,polls,5
govt,passed,5
vs,rahul,5
passed,mean,5
mean,empowerment”,5
empowerment”,prove,5
prove,congress,5
poll,position,5
rjd,leader,5
post,poll,5
perilous,post,5
parivar’s,perilous,5
ji,ji,5
gained,state,5
across,country,5
two,parties,5
move,ahead,5
pradesh,seesaw,5
party,congress,5
like,votes,5
people,like,5
makes,army,5
total,vote,5
army,fount,5
less,people,5
communal,violence,5
review,less,5
choice,surging,5
minister,review,5
anti,congress,5
comes,power,5
seats,total,5
fount,national,5
congress,dmk,5
govt,accidental,5
advantage,seats,5
federal,front,5
pm,congress,5
next,years,5
seats,delhi,5
money,power,5
naveen,patnaik,5
congress,congress,5
low,count,5
votes,low,5
people,india,5
thanks,emperor,5
count,votes👎,5
surging,economy,5
economy,thanks,5
congress,makes,5
former,union,5
union,minister,5
announcing,alliance,4
feel,loose,4
last,years,4
minister,narendra,4
experts,feel,4
congress,rahul,4
thing,clear,4
follow,live,4
congress,come,4
congress,strong,4
congress,who…,4
adarsh,shukla,4
sachin,adarsh,4
sheila,dikshit,4
indian,national,4
national,congress,4
votes,congress,4
space,posts,4
joining,hands,4
privilege,motion,4
work,hard,4
upper,caste,4
three,states,4
congress,done,4
priyanka,vadra,4
remain,equidistant,4
murders,persons,4
equidistant,congress,4
govt,murders,4
formed,govt,4
many,seats,4
congress,formed,4
give,another,4
since,congress,4
results,show,4
gandhi,family,4
party,leading,4
leading,two,4
pm,modis,4
last,days,4
contest,polls,4
without,congress,4
pounces,jpc,4
continue,remain,4
chhattisgarh,congress,4
anti,national,4
need,pm,4
congress,mp,4
seat,sharing,4
congress,track,4
attacks,like,4
wins,india,4
party,think,4
congress,chief,4
every,one,4
disgusting,attacks,4
third,front,4
persons,disgusting,4
election,congress,4
states,hindi,4
loan,waiver,4
congress,ahead,4
emperor,re…,4
loose,security,4
shares,seats,4
tax,payers,4
needs,learn,4
time,row,4
locked,tough,4
fourth,time,4
vote,seats,4
joined,hands,4
results,seats,4
trails,congress,4
two,seats,4
congress,alliance,4
dmk,join,4
join,forces,4
forces,day,4
day,allies,4
seats,gain,4
allies,aiadmk,4
defeats,congress’,4
congress’,manvendra,4
modi,win,4
mp,rajasthan,4
congress,shiv,4
party,seats,4
trinamool,congress,4
majority,madhya,4
misses,majority,4
seats,track,4
states,misses,4
elections,impact,4
congress,leads,4
congress,gained,4
loss,congress,4
photo,ians,4
haven’t,taken,4
congress,part,4
make,india,4
samajwadi,party,4
election,commission,4
think,congress,4
close,fight,4
lessons,state,4
party,considered,4
considered,pundits,4
pundits,agree,4
along,congress,4
agree,shares,4
mp,joined,4
elections,narayan,4
impact,elections,4
verdict,impact,4
sinking,party,4
congress,sinking,4
polls’,verdict,4
modi,pm,4
state,polls’,4
joins,congress,4
leads,results,4
people’s,anger,4
deposits,seats,4
security,deposits,4
aiadmk,read,4
challenges,lessons,4
cm,post,3
pradesh,seats,3
party,president,3
alone,option,3
non,congress,3
pm,narendra,3
prediction,congress,3
seats,four,3
claims,made,3
yet,another,3
wednesday,many,3
updates,follow,3
managed,secure,3
fastest,updates,3
ram,mandir,3
joined,wednesday,3
fight,seats,3
four,seats,3
winning,seats,3
allies,rest,3
congress,managed,3
rakesh,jhunjhunwala,3
secure,seats,3
ke,liye,3
centre,madhya,3
favour,congress,3
counting,centre,3
dp,maker,3
anurag,thakur,3
time,give,3
votes,lost,3
karnataka,government,3
congress,anti,3
congress,ticket,3
moved,privilege,3
rs,crore,3
difference,congress,3
parties,alliance,3
congress,supporters,3
much,like,3
lok,rafale,3
congress,two,3
coin,two,3
congress,corrupt,3
congress,left,3
joined,congress,3
declared,contest,3
parties,planning,3
old,school,3
clear,majority,3
congress,minister,3
uses,old,3
seats,state,3
think,india,3
inside,counting,3
rest,uses,3
things,come,3
less,seats,3
like,one,3
congress,last,3
write,focus,3
lead,alliance,3
timesmega,poll,3
equipped,lead,3
congress,equipped,3
five,years,3
deal,congress,3
known,fact,3
contest,elections,3
economic,times,3
woo,voters,3
nots”,woo,3
focus,nots”,3
special,coverage,3
priyanka’s,entry,3
loan,write,3
pm,india,3
onetime,farm,3
vote,party,3
pledge,onetime,3
congress,pvt,3
pvt,ltd,3
ltd,pappu,3
pappu,khan,3
congress,means,3
waiting,game,3
quit,join,3
says,rjd,3
another,term,3
mp,raj,3
pappu,thief,3
anything,since,3
since,defeat,3
party,learning,3
defeat,years,3
indian,economy,3
ago,time,3
time,worse,3
seats,got,3
upcoming,lok,3
shame,party,3
sister,shame,3
thief,sister,3
national,polls,3
split,vote,3
win,pappu,3
chief,congress,3
defeat,upcoming,3
seats,congress…,3
congress,modi,3
face,rahul,3
slap,face,3
poll,slap,3
one,side,3
vote,elections,3
elections,india,3
congress,got,3
gandhi,quit,3
varun,gandhi,3
modi,congress,3
honored,hate,3
lok,seat,3
point,towards,3
trend,point,3
surveys,trend,3
wish,town,3
jaypee,wish,3
solve,jaypee,3
occasion,solve,3
rise,occasion,3
must,rise,3
learning,anything,3
congress,votes,3
hate,violence,3
defense,minister,3
join,hands,3
getting,seats,3
odisha,cm,3
cm,naveen,3
congress,get,3
top,congress,3
incharge,eastern,3
takes,dig,3
taken,huge,3
congress,taken,3
congress,gandhi,3
raj,cg,3
towards,loss,3
loss,loss,3
loss,gains,3
thing,sure,3
pradesh,defeat,3
era,yuva,3
parties,take,3
congress,era,3
stinking,india,3
smelling,stinking,3
rule,people,3
polluted,smelling,3
corrupt,polluted,3
dirty,corrupt,3
missing,dirty,3
town,issue,3
get,votes,3
national,interest,3
sensing,defeat,3
evms,sensing,3
congress,sponsored,3
modi,wave,3
pattern,announcing,3
fell,pattern,3
active,politics,3
rahul,rahul,3
rahul,vs,3
vs,modi/shah/,3
modi/shah/,media/fake,3
coverage,live,3
allies,allies,3
pmk,alliance,3
parties,adopting,3
leader,said,3
electionrelated,news,3
election,campaign,3
leading,seats,3
coming,days,3
minister,anticongress,3
anticongress,propaganda,3
clear,mandate,3
congress,clear,3
much,time,3
gandhi,says,3
good,governance,3
contest,congress,3
hacked,dream,3
said,hacked,3
one,said,3
wonder,one,3
still,wonder,3
map,state,3
heat,map,3
see,heat,3
fight,see,3
congress,locked,3
votes,counted,3
decided,support,3
power,decided,3
ensure,come,3
said,party,3
aiadmk,pmk,3
dear,friends,3
paper,planes,3
everyone,knows,3
common,man,3
elections,going,3
sena,pounces,3
jpc,rafale,3
likely,win,3
poll,results,3
opinion,poll,3
congress,legislators,3
election,coverage,3
watch,special,3
updates,watch,3
congress,dumped,3
losing,congress,3
congress,rajasthan,3
together,says,3
three,cornered,3
hands,congress,3
dont,let,3
seven,lok,3
congress’,ndtv,3
win,lok,3
congress,always,3
minister,leads,3
issue,whip,3
election,year,3
adopting,congressism,3
opinion,noncongress,3
congress,gives,3
congress,may,3
congress,power,3
own.if,congress,3
work,done,3
government,own.if,3
congress,lost,3
clear,form,3
delhi,congress,3
surveys,one,3
parliament,election,3
strong,opposition,3
today’s,surveys,3
election,manifesto,3
clear,indication,3
congress,lose,3
social,media,3
want,see,3
congress,said,3
pradesh,lok,3
form,alliance,3
won’t,get,3
says,opposition,3
shankar,prasad,3
ravi,shankar,3
congress,using,3
delhi,cm,3
cm,said,3
grand,alliance,3
fight,election,3
payers,money,3
well,know,3
pm,solve,3
elections,ensure,3
fought,elections,3
congress,great,3
priyanka,gandhi,3
seen,congress,3
congress,aap,3
rs,cr,3
admitting,congress,3
congress,cant,3
cant,solve,3
solve,kashmir,3
kashmir,need,3
lok,election,3
years,rule,3
congress,winning,3
win,general,3
seat,congress,3
government,done,3
done,span,3
span,four,3
four,years,3
years,india,3
india,couldnt,3
couldnt,last,3
share,seats,3
congress,government,3
president,rahul,3
day,congress,3
su,thirunavukkarasar,3
congress,also,3
neck,neck,3
media,delhi,3
leader,su,3
addresses,media,3
time,main,3
chief,ministerial,3
lok,today,3
vasundhara,raje,3
upcoming,elections,3
modi,government,3
years,years,3
congress,others,3
seats,alliance,3
leads,trails,3
thirunavukkarasar,addresses,3
congress,give,3
modi,lok,3
office,raipur,3
pr,hold,2
congress,mahachor,2
rss,done,2
mahachor,regime,2
regime,ki,2
ki,vacancies,2
vacancies,pr,2
alert,congress,2
worked,alert,2
sonia,pvnr,2
one,two,2
congress,sonia,2
since,modi,2
wali,congress,2
tried,capitalise,2
congress,tried,2
people,voted,2
mistake,since,2
done,mistake,2
youth,ko,2
trying,fool,2
closer,sitching,2
congress,farm,2
copies,congress,2
asked,seats,2
aap,congress,2
seats,admk,2
admk,dmk,2
dmk,respectively,2
reasons,congress,2
ndtv,track,2
respectively,though,2
sitching,alliance,2
stand,people,2
ko,wali,2
loss,states,2
didnt,wanted,2
states,elections,2
elections,worked,2
vote,wisely,2
wud,vote,2
fighting,prevent,2
mana,ki,2
ki,chaukidar,2
chaukidar,chor,2
chor,youth,2
opposition,votes,2
defeat,states,2
government,congress,2
needs,strong,2
every,party,2
sri,ji,2
call,supporters,2
development,country,2
government,fails,2
fails,says,2
one,reasons,2
supporters,sachin,2
really,wanna,2
wanna,give,2
minister,narayansamy,2
term,know,2
know,every,2
says,chief,2
remove,prime,2
dont,know,2
way,congress,2
aap,stop,2
mahatma,gandhi,2
every,way,2
karnataka,minister,2
way,modi,2
modi,parasites,2
congress,want,2
parasites,much,2
challenge,let,2
majority,mark,2
may,go,2
seats,may,2
want,india,2
one,nc,2
way,late,2
time,voters,2
landslide,victory,2
confident,trying,2
reliant,confident,2
part,uttar,2
self,reliant,2
make,self,2
using,winning,2
corruption,chief,2
indulged,corruption,2
congress,indulged,2
winning,strategy,2
topple,karnataka,2
pdp,one,2
congress,pdp,2
kashmir,congress,2
strategy,parties,2
jammu,kashmir,2
seats,jammu,2
get,money,2
trying,make,2
analysts,think,2
think,fighting,2
fighting,together,2
together,way,2
farm,way,2
could,happen,2
late,money,2
congress,asked,2
eastern,congress,2
congress,cut,2
cut,deeper,2
deeper,votes,2
namo,stroke,2
today,congress,2
india,today,2
party,always,2
people,odisha,2
rishi,mishra,2
party,joins,2
front,anti,2
congressled,upa,2
resigns,party,2
ever,since,2
seats,aiudf,2
form,govt,2
form,front,2
seats,others,2
never,thought,2
pave,way,2
income,tax,2
cell,congress,2
seats,western,2
western,congress,2
hey,wait,2
actually,eastern,2
trs,ysrcp,2
campaign,hollow,2
left,fighting,2
interesting,alliance,2
got,interesting,2
unity,coming,2
included,alliance,2
gandhi,media,2
stroke,realty,2
minister,kickstarted,2
realty,never,2
never,digest,2
kickstarted,campaign,2
digest,congress,2
takes,power,2
hollow,pledge,2
time,around,2
minister,next,2
pledge,waive,2
congress,vs,2
waive,takes,2
lets,see,2
parties,asked,2
asked,put,2
put,election,2
crore,indians,2
congress,merge,2
merge,coming,2
vote,next,2
school,jour…,2
handle,starts,2
official,handle,2
partys,official,2
vote,ji,2
endorses,end,2
modi,led,2
italian,ruler,2
often,impunity,2
impunity,watch,2
years,challenge,2
must,see,2
reported,earlier,2
one,happening,2
increasing,outlay,2
sector,increasing,2
watch,learn,2
learn,could,2
earlier,congress,2
alleges,poaching,2
money,sector,2
happen,state,2
state,lies,2
lies,vote,2
kareena,kapoor,2
happening,often,2
cm,sheila,2
next,election,2
patnaik,said,2
impact,find,2
wasting,time,2
dont,support,2
heat,namo,2
show,heat,2
vs,rest,2
pose,show,2
thanks,government,2
parties,com…,2
would,continue,2
party,would,2
anna,hazare,2
syed,shuja,2
pappu,pose,2
supremo,odisha,2
congress,might,2
wahh,modi,2
wait,watch,2
live,congress,2
one,enemies,2
promoting,film,2
congress,mukth,2
marketing,promoting,2
starts,marketing,2
minister,alleges,2
come,second,2
poaching,congress,2
congress,nation,2
nda,congress,2
says,party,2
want,vote,2
think,corrupt,2
never,vote,2
parties,party,2
wednesday,joined,2
next,time,2
right,nda,2
randeep,surjewala,2
surjewala,quit,2
quit,congress,2
nation,joining,2
views,congress,2
party,mp,2
stats,right,2
ahead,elections,2
hike,crying,2
expects,win,2
rajasthan,win,2
crying,like,2
president,pm,2
worry,alliance,2
government,hospital,2
hospital,modi’s,2
seats,achieve,2
congress,prospects,2
give,views,2
walkout,de…,2
challenge,stop,2
law,order,2
choose,nota,2
today,passed,2
india,vote,2
vote,govt,2
congress,play,2
constitution,constitution,2
wave,effects,2
win,game,2
along,playing,2
else,along,2
stop,else,2
others,wave,2
want,join,2
face,challenge,2
today,face,2
time,today,2
shameful,time,2
yesterday,shameful,2
way,yesterday,2
correct,please,2
indian,express,2
indias,first,2
congress,raj,2
pls,give,2
rahi,hai,2
modi’s,wants,2
akhilesh,yadav,2
hurt,lok,2
day,virtually,2
joining,says,2
late,night,2
wont,joining,2
clarifies,wont,2
mp,clarifies,2
challenging,late,2
totally,anti,2
ss,challenging,2
alliance,formed,2
part,alliance,2
left,part,2
virtually,left,2
talk,results,2
alliance,hurt,2
alternative,writes,2
party,alternative,2
congress,walkout,2
previously,party,2
emergence,previously,2
party,emergence,2
towards,party,2
disillusionment,towards,2
growing,disillusionment,2
reflects,growing,2
states,reflects,2
lies,congress,2
says,aim,2
night,tf,2
india,taken,2
people,hate,2
fall,short,2
times,nowvmr,2
threatens,play,2
let,clarify,2
clarify,political,2
rahul,threatens,2
huge,applous,2
fade,away,2
north,east,2
cg,congress,2
lok,rahul,2
drama,lok,2
whoever,wants,2
wants,see,2
see,vote,2
mla,join,2
upcoming,election,2
political,discourse,2
aim,win,2
applous,govt,2
neither,congress,2
political,stand,2
govt,passing,2
passing,favour,2
stand,totally,2
congress,mps,2
